Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",Domestic credit to private sector (% of GDP),Domestic credit to private sector by banks (% of GDP),Bank nonperforming loans to total gross loans (%),Bank capital to assets ratio (%),Broad money (% of GDP),Broad money growth (annual %),"Commercial bank branches (per 100,000 adults)","Automated teller machines (ATMs) (per 100,000 adults)","Borrowers from commercial banks (per 1,000 adults)","Depositors with commercial banks (per 1,000 adults)",Market capitalization of listed domestic companies (% of GDP),"Stocks traded, total value (% of GDP)","Stocks traded, turnover ratio of domestic shares (%)",Prediction
0.13719669,-0.052702427,3.0745401,0.69344425,-0.3865215,0.020112531,1.4283042,-1.2754354,0.4324876,-0.0017896397,0.15990011,-0.015102518,0.05796776,0.47614694,0.06495598,61.940475
-1.6363385,-0.10605326,2.5757785,-0.13396502,-0.25905785,-0.60474366,0.6296882,-0.015517521,0.030513877,0.03330329,-1.2532518,0.029713709,0.32042456,0.5217648,0.039623696,57.29884
0.55125993,-0.052702427,1.151612,-0.12037981,-1.5230039,-0.5065176,0.6794845,0.11460999,0.042088408,-0.0030563986,0.08978596,-0.0020636213,-0.20895103,-1.3651259,-0.3648806,55.60912
1.1186106,0.052980326,-0.05090776,-0.15376836,2.3905125,0.024100734,1.1103903,0.14642577,-0.19807278,0.0016084209,0.3821597,0.97607607,0.18094085,0.45466745,0.029505894,63.592182
0.0053070947,-0.006376303,-5.940469,-0.46142662,-2.4107022,0.48514536,-2.0118964,0.28248227,-1.4257954,0.00029106025,-0.7015017,-0.018133178,0.17367142,0.6213949,0.0074618417,45.726395
0.436313,-0.09211925,1.3238916,-0.10107857,-2.6427665,0.02456757,1.0616397,0.09632272,0.49844384,0.0044282563,0.0993904,0.023205552,-0.78237116,-6.0321145,-0.41859457,50.62612
0.45034933,-0.006376303,-0.84209466,-0.29287887,-2.4392173,-0.3104064,-2.6819663,-0.027732989,-0.78085434,-0.0018794092,-2.9655728,-0.029251661,-0.59277874,-1.0476509,0.0663038,45.624947
-0.05202867,-0.05421089,2.0583057,0.8252971,0.16123432,-0.01013376,0.8411219,0.17960836,0.50174177,-0.0031297125,0.06287611,0.04242595,0.5630454,-5.531873,-0.3332982,56.377945
-2.226038,-0.006130222,-0.9656305,-0.16484249,0.11876031,0.21220668,-1.5905061,0.019036671,-0.32570583,0.034412794,0.12857054,-0.5322478,0.18902376,0.89440984,-0.0005903813,52.91165
0.21902905,-0.006376303,-5.4842753,-0.36284506,-0.26614547,0.09128004,0.784924,0.25925627,-1.4825851,0.00011351038,-0.07121868,0.1332997,0.101683095,0.3715723,0.10724327,51.521915
-2.5755625,-0.0057673967,-2.018265,-0.16000953,0.7353336,-0.49272993,0.48679018,-0.07426203,0.3641171,-0.00020676295,-1.1211557,0.004089926,0.1445637,0.38175476,0.011502746,52.80714
1.003059,0.19032834,3.4344165,0.60134095,0.39358753,-0.45223773,0.9891879,0.23187448,-0.649171,0.03368409,0.02214394,0.023734855,0.26784173,0.4631471,0.031537745,63.711452
-2.120062,-0.006559401,-1.9345644,-0.20112792,-0.091832064,0.8204091,-1.4160228,0.2643164,0.34455538,0.012255503,0.19794098,-0.44895992,0.10632598,0.7200581,-0.08486617,53.288803
1.277486,-0.012642591,-1.2990777,-0.069839515,-0.20775047,-0.32681254,0.71815187,0.019361565,0.34570315,-0.0075616622,0.22022654,0.06885939,-0.41537273,0.00070782076,-0.17148139,57.2669
0.117574826,-0.052702427,2.4789617,0.09005535,-0.31878573,0.04466191,1.2396333,0.2775862,0.30861053,-0.00090854085,0.15265718,0.010365126,0.054322742,0.50571626,0.081718735,62.116432
-0.021830553,-0.0057673967,1.2965918,-0.15081793,0.42326733,1.2503868,-1.3620899,0.17744736,0.7253042,-0.0019264065,0.68800676,0.031717114,0.19257483,0.77907866,0.0111042475,61.159973
0.08159981,-0.05251933,2.970101,1.4500562,-0.43098286,0.04415277,1.5201375,-0.029092355,0.2622523,-0.0010111597,0.16330473,-0.0019263928,0.04271633,0.43162763,0.048770014,63.626144
-0.2898304,-0.03959704,3.910326,2.6406388,3.8033845,-0.38472754,2.038293,-0.03966248,0.43257737,-0.00079831487,0.029025525,-0.004106091,0.29200664,2.912337,1.0905921,73.51739
0.4343087,-0.006559401,0.06531396,-0.14485618,-0.30050722,0.22722232,0.6506625,0.07961397,0.5449407,0.0014482348,0.3566512,0.02343754,0.20398211,0.6329975,0.08576618,59.98136
-2.3355155,-0.0055842986,-2.33501,-0.27428323,2.405265,0.7956086,-2.5286522,0.059493337,-0.044214044,0.0007846294,0.10329862,-0.40300158,0.1607828,0.6155205,0.04296316,53.38439
-2.238101,-0.012459493,-1.1947775,-0.18026668,-1.075196,-0.055681817,0.8712898,-0.005806937,-0.55810887,0.035335045,0.067192465,-0.24764484,0.109315634,-0.09802381,-0.2973275,52.246674
0.9444045,0.19014862,3.1490219,0.6595892,-0.07728891,-0.72175765,0.839197,0.22669415,0.36245373,-0.0030941765,0.09148146,0.046241473,0.32290474,0.5070739,0.06004285,63.72408
0.50651145,-0.012459493,-0.51936466,-0.07863706,-0.2962805,0.034809012,1.0586193,0.014316148,-0.5968012,-0.0010113397,0.12460328,-0.531557,0.059370466,0.49008167,0.0710838,57.450226
0.5390146,-0.013645836,-0.39297837,-0.21935928,-2.312595,0.3120903,-2.6140893,-0.040835187,-0.8591752,-0.0041156164,0.49113286,-0.036758717,-0.48425034,-3.788556,-0.2949129,47.407917
0.7337335,-0.0055842986,-1.3108194,-0.12388622,2.9248178,-0.56492114,0.9016834,0.089741774,-0.07492759,-0.011348254,0.06332125,0.03150209,0.10752357,0.32055637,0.06437864,60.27273
