Country Name,Year,CPIA gender equality rating (1=low to 6=high),"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)","Access to electricity, rural (% of rural population)","Access to clean fuels and technologies for cooking, rural (% of rural population)",GOAL 2: Zero Hunger (5 year moving average),Newborns protected against tetanus (%),"School enrollment, primary (% gross)","Life expectancy at birth, total (years)",People using at least basic sanitation services (% of population),Gini index,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",Poverty headcount ratio at $6.85 a day (2017 PPP) (% of population),Social_Equity_Index
Australia,2022,1.2904492808032562,4.513604000327513,4.530195927798776,4.530195927798776,-0.3571300238567617,4.464572606707027,4.521769731938039,4.352112065635563,4.530195927798776,3.492108663266857,1.379448141588215,2.8612400934348163,69.78424831455823
Australia,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.521769731938039,4.35037790871073,4.430623698940526,3.492163258139891,0.6914328000258148,2.858936242195275,69.70276835034154
Austria,2021,1.2904492808032562,4.530195927798776,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.545974418089453,4.328418453678567,4.5299296976917525,3.3826935045363213,1.780333829303916,0.0952777194506167,75.59180576621252
Austria,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.537671863369217,4.329669428808498,4.5299285101817794,3.3826935045363213,1.9324389107446345,0.0952777194506167,75.26788013336443
Austria,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.2233216140000439,4.463036562993165,4.537671863369217,4.332601384686677,4.430623698940526,3.3826935045363213,1.780333829303916,0.0952777194506167,74.50287719655245
Bangladesh,2021,1.0943097372145796,3.831211759228817,4.515570928516569,2.263864497664974,-0.1054002017288398,4.510646037948736,4.669124272954464,4.199796702105419,4.0010192385422325,3.464923717433542,5.169907533787842,4.239837330259129,56.04461682931273
Bangladesh,2022,1.0943097372145796,4.146253214804603,4.522423640704702,2.386356903945146,-0.1054002017288398,4.510646037948736,4.687462510594733,4.241994146613646,4.023532937108558,3.464923717433542,4.7912267051822095,4.239837330259129,58.46611677544718
Bangladesh,2023,1.24717034366542,4.189795067314174,4.526317643555721,4.268685704379358,-0.2233216140000439,4.510646037948736,4.636311068168982,4.247293726682471,4.430623698940526,3.464923717433542,4.665364393851121,4.239837330259129,64.29705903778505
Belgium,2021,1.2904492808032562,4.510053351212584,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.547657888155756,4.335553329899791,4.52521151327527,3.2427366844294943,1.9324389107446345,-1.6187316163154453,79.4399911991741
Belgium,2022,1.2904492808032562,4.146253214804603,4.530195927798776,4.530195927798776,-0.2233216140000439,4.464572606707027,4.551033196415692,4.335061967552642,4.525211570987431,3.2427366844294943,2.3774611565447525,-1.6187316163154453,78.80376832889856
Belgium,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.3571300238567617,4.463036562993165,4.551033196415692,4.342721734444271,4.430623698940526,3.2427366844294943,1.379448141588215,-1.6187316163154453,77.73012232210988
Bosnia and Herzegovina,2021,1.2904492808032562,4.215854985523038,4.530195927798776,2.495175944575492,-0.511759409892192,4.464572606707027,4.409135906860375,4.2459293028064495,4.429455273251683,3.4950523895136545,2.541578176113876,2.886126718541812,57.41798937866176
Bosnia and Herzegovina,2022,1.2904492808032562,4.215854985523038,4.530195927798776,2.4380928836666627,-0.511759409892192,4.464572606707027,4.404487094660414,4.2742469427792456,4.431790706403246,3.492108663266857,2.462967195874403,2.8612400934348163,58.24325276544069
Bosnia and Herzegovina,2023,1.2904492808032562,4.189795067314174,4.530195927798776,4.268685704379358,-0.511759409892192,4.463036562993165,4.398014161788612,4.287701010269663,4.430623698940526,3.492163258139891,1.780333829303916,2.858936242195275,62.37571880527246
