Series Name,Source File(s),Category
"Regulatory Quality: Percentile Rank, Lower Bound of 90% Confidence Interval",WDI,Uncategorized
"Regulatory Quality: Percentile Rank, Upper Bound of 90% Confidence Interval",WDI,Uncategorized
Regulatory Quality: Standard Error,WDI,Uncategorized
"Reserves and related items (BoP, current US$)",WDI,Uncategorized
Rule of Law: Estimate,WDI,Uncategorized
Rule of Law: Number of Sources,WDI,Uncategorized
Rule of Law: Percentile Rank,WDI,Uncategorized
"Rule of Law: Percentile Rank, Lower Bound of 90% Confidence Interval",WDI,Uncategorized
"Rule of Law: Percentile Rank, Upper Bound of 90% Confidence Interval",WDI,Uncategorized
Rule of Law: Standard Error,WDI,Uncategorized
S&P Global Equity Indices (annual % change),WDI,Uncategorized
SDDS/e-GDDS subscription,SPI,Uncategorized
Scientific and technical journal articles,WDI,Uncategorized
Secure Internet servers,WDI,Uncategorized
Subsidies and other transfers (current LCU),WDI,Uncategorized
Surface area (sq. km),WDI,Uncategorized
Time required to obtain an operating license (days),WDI,Uncategorized
Time to obtain an electrical connection (days),WDI,Uncategorized
"Total reserves (includes gold, current US$)",WDI,Uncategorized
Total reserves minus gold (current US$),WDI,Uncategorized
Value lost due to electrical outages (% of sales for affected firms),WDI,Uncategorized
